Лiневiча Яраслава Львовiча
Кандыбу Аляксандра Станiслававiча
Канцавога Андрэя Уладзiмiравiча
Каралёва Сяргея Пятровiча
Каралькова Аляксандра Сямёнавiча
Карозу Мiкалая Леанiдавiча
Карповіча Мiкалая Мiкалаевiча
Карташова Аляксея Мiкалаевiча
Кастрыцкага Анатолiя Арсеньевiча
Касцюкевіча Дзмiтрыя Анатольевiча
Касцяна Анатолiя Анатольевiча
Катка Валерыя Вiктаравiча
Кацібнікава Дзмiтрыя Анатольевiча
Кісялёва Андрэя Уладзiмiравiча
Кішкурну Дзмiтрыя Мiхайлавiча
Клышко Зiнаiду Паўлаўну
Козела Сцяпана Уладзiмiравiча
Козела Сяргея Леанiдавiча
Коршунава Вiталя Васільевіча
Котава Алега Мiкалаевiча
Котыша Юрыя Мiкалаевiча
Красоўскага Мiкалая Мiкалаевiча
Кругава Юрыя Анатольевiча
Круглякова Сяргея Рыгоравiча
Крундзікава Сяргея Мiкалаевiча
Крыкало Анатолiя Мiкалаевiча
Крыштафовіча Аляксандра Аляксандравiча
Кукушкіна Алега Уладзiмiравiча
Куцко Мiкалая Мiкалаевiча
Кушнярова Аляксандра Сяргеявiча
Кядалу Анатолiя Мiхайлавiча
Лабанава Юрыя Аляксандравiча
Лабунова Аляксандра Валер’евiча
Лазуку Сяргея Анатольевiча
Ламаку Мiхаiла Мiхайлавiча
Лапко Уладзiмiра Іосiфавiча
Лахаданава Яўгенiя Іванавiча
Лебядзевіча Вiктара Уладзiмiравiча
Літвіновіча Уладзiмiра Аляксандравiча
Ліштвана Мiхаiла Мiхайлавiча
Лобача Валерыя Аляксеевiча
Лоня Сяргея Мiхайлавiча
Лук’яновіча Вячаслава Леанiдавiча
Лупача Леанiда Валянцiнавiча
Лухтана Валерыя Іванавiча
Лушчыка Сяргея Васiльевiча
Лысенку Валерыя Валер’евiча
Лыскоўскага Вiктара Анатольевiча
Лычкоўскага Васiлiя Васiльевiча
Лятчэню Юрыя Уладзiмiравiча
Ляўко Эдуарда Сцяпанавiча
Мазарчука Мiхаiла Уладзiмiравiча
Мазынскага Дзмiтрыя Уладзiмiравiча
Макарава Сяргея Іванавiча
Макаранку Станiслава Леанiдавiча
Мамчыца Андрэя Анатольевiча
Марозава Дзмiтрыя Васiльевiча
Мартыненку Паўла Уладзiмiравiча
Маскальчук Людмiлу Федараўну
Мацюшонка Паўла Мiхайлавiча
Мельнікава Вячаслава Уладзiмiравiча
Мешчанку Алега Мiхайлавiча
Мікішку Мiкалая Леанiдавiча
Мілевіча Юрыя Валер’евiча
Міхасенку Кірыла Фёдаравiча
Міцкевіча Вячаслава Мiкалаевiча
Мішуту Сяргея Пятровiча
Млынарчыка Аляксандра Рыгоравiча
Музычэнку Вiталiя Анатольевiча
Мусатава Сцяпана Вiктаравiча
Муху Аляксандра Іванавiча
Муху Аляксандра Эдуардавiча
Немца Алега Анатольевiча
Несцяровіча Уладзiмiра Уладзiмiравiча
Нічыпарука Дзянiса Аляксандравiча
Новіка Сяргея Мiхайлавiча
Пагарцаву Алену Мiхайлаўну
Панамарэнку Юрыя Анатольевiча
Панасюка Вiталiя Уладзiмiравiча
Папка Дзмiтрыя Анатольевiча
Патоцкага Аляксандра Мiкалаевiча
Патоцкага Андрэя Генадзьевiча
Печуро Дзянiса Мiхайлавiча
Пракоф’ева Аляксандра Анатольевiча
Пуцяту Андрэя Анатольевiча
Пятрова Валерыя Уладзiмiравiча
Раманенку Рамана Уладзiмiравiча
Рогава Васiлiя Пятровiча
Рубашку Аляксандра Вацлававiча
Русака Пятра Мiхайлавiча
Рыбалтоўскага Генадзя Сiгiзмундавiча
Рыжанкова Сяргея Адамавiча
Рыманава Кірыла Уладзiмiравiча
Сакава Вiталiя Уладзiмiравiча
Сапраненку Дзянiса Леанiдавiча
Сахарчука Сяргея Васiльевiча
Свідрыцкага Уладзiмiра Станiслававiча
Свірыда Максіма Уладзiмiравiча
Сёмачкіна Дзмiтрыя Мiкалаевiча
Сiніцкага Алега Міхайлавіча
Сіннікава Ігара Аляксандравiча
Смык Таццяну Мiкалаеўну
Стаўскага Вiктара Уладзiмiравiча
Сувалава Алега Мiкалаевiча
Сукору Валерыя Леанiдавiча
Сцецюкевіча Аляксея Мiкалаевiча
Сянько Дзмiтрыя Іванавiча
Сяргеева Сяргея Мiкалаевiча
Талецкага Мiкалая Станiслававiча
Тарасевіча Юрыя Уладзiмiравiча
Томчыка Івана Адольфавiча
Турава Аляксандра Аляксандравiча
Турчыновіча Вiктара Вiктаравiча
Уласава Вiктара Уладзiмiравiча
Фаменку Вiталiя Алегавiча
Філіповіча Вiталiя Іосiфавiча
Філіпчыка Аляксандра Аляксеевiча
Хадановіча Ігара Аляксандравiча
Халімончыка Анатолiя Уладзiмiравiча
Харлапава Вiталiя Мiхайлавiча
Хвесюка Вiталiя Мiкалаевiча
Хільмончыка Уладзiмiра Іванавiча
Хлыстунова Вiктара Уладзiмiравiча
Хутко Аляксандра Іванавiча
Цвілікава Валерыя Мiхайлавiча
Цераха Мiкалая Ігнацьевiча
Ціханкова Аляксандра Леанiдавiча
Цяпкіна Алега Уладзiмiравiча
Цясленку Руслана Уладзiмiравiча
Цяцеру Ігара Іванавiча
Чаеўскага Андрэя Мiкалаевiча
Чайко Уладзiмiра Барысавіча
Чалея Уладзiмiра Уладзiмiравiча
Чарапка Андрэя Расцiслававiча
Чупрына Станiслава Барысавiча
Шайкевіча Сяргея Эдуардавiча
Шарамету Васiля Іванавiча
Шкадзінскага Андрэя Анатольевiча
Шкробата Аляксандра Адамавiча
Шкутовіча Сяргея Станiслававiча
Шлыковіча Сяргея Мiкалаевiча
Шмата Ігара Уладзiмiравiча
Шпакевіча Яўгенiя Іванавiча
Шынкарова Сяргея Аляксандравiча
Шыханцову Надзею Уладзiмiраўну
Шэвеля Сяргея Уладзiмiравiча
Юрчыка Сяргея Анатольевiча
Юхімука Юрыя Сцяпанавiча
Язэпчыка Дзмiтрыя Мiкалаевiча
Янкоўскага Баляслава Баляслававiча
Мацюха Mixaіла Рыгоравіча
Коршун Надзею Iванаўну
Навукова-даследчае i праектна-вышукальнае рэспубліканскае ўнітарнае прадпрыемства «Белэнергасеткапраект»
Булыгу Мiкалая Мiкалаевiча
Гурынава Паўла Кузмiча
Добыша Мікалая Iванавіча
Карцеля Мiкалая Iванавiча
Корзуна Вячаслава Фелiксавiча
Куцага Васiлiя Iванавiча
Лакамкiна Вiктара Андрэевiча
Мароза Сяргея Вiктаравiча
Мацкевіч Людмiлу Пятроўну
Міхайліна Васiля Iванавiча
Пугачова Сяргея Васiльевiча
Семчука Аркадзiя Леанiдавiча
Турлюка Вiктара Iосiфавiча
Хвата Аляксандра Аркадз’евiча
Шыманчука Канстанцiна Баляслававiча
Барадулю Валянцiна Аляксеевiча
Мiхалевiчу Аляксандру Аляксандравiчу
Макарэвіча Уладзiмiра Мiхайлавiча
Сідарэнку Аляксандра Дзмiтрыевіча
Быкаву Iрыну Валянцiнаўну
Ларычава Віктара Юр’евiча
Маркава Аляксандра Мiкалаевiча
Паўлюковіча Васiлiя Васiльевіча
Пашкевіча Максiма Генадзьевiча
Пятніцкага Дзяніса Аляксандравiча
Рабінава Вадзiма Артуравіча
Суліму Уладзiмiра Уладзiмiравіча
Шашко Аляксандра Iванавiча
Галавацкага Генадзя Леанiдавiча
Дубіну Аляксандра Уладзiмiравiча
Жыбуртовіча Вiктара Валянцiнавiча
Караева Юрыя Хаджымуратавiча
Лазаковіча Яўгенiя Леанiдавiча
Літвіна Юрыя Аляксандравiча
Мельчанку Мiкалая Аляксандравiча
Нікіціна Эдуарда Анатольевiча
Ранцава Мiкалая Пятровiча
Сандалюка Сяргея Васiльевiча
Сямёнава Сяргея Уладзiмiравiча
Сянько Вiктара Сяргеевiча
Ткачэнку Валянцiна Збігневіча
Фядотава Вадзiма Валер’евiча
Цішкевіча Мiкалая Карпавіча
Часнова Андрэя Анатольевiча
Чучкова Станiслава Грыгор’евiча
Алферава Андрэя Iванавiча
Бібікаву Таццяну Iванаўну
Вараб’ёва Юрыя Анатольевiча
Васільева Анатолiя Анатольевiча
Галавача Сяргея Аляксандравiча
Далідовіча Аляксандра Уладзiмiравiча
Дарошку Сяргея Анатольевiча
Дзмітрука Аляксандра Мiкалаевiча
Емельянава Андрэя Анатольевiча
Ермалаева Аляксандра Уладзiмiравiча
Жоглу Вiталiя Аляксандравiча
Кавальчука Аляксандра Аляксандравiча
Лазінскага Уладзiмiра Дзмiтрыевiча
Лісімава Аляксандра Фёдаравiча
Лысака Канстанцiна Канстанцiнавiча
Лянько Васiлiя Iванавiча
Мамедава Руслана Валер’евiча
Нікіціна Леанiда Леанiдавiча
Пасечнага Аляксея Вiтальевiча
Пашкова Iгара Мiхайлавiча
Петрана Аляксандра Сяргеевiча
Сільчанку Анатолiя Мiхайлавiча
Собалева Сяргея Вiктаравiча
Ткача Iгара Уладзiмiравiча
Тымуля Дзмiтрыя Станiслававiча
Філюту Аляксандра Iванавiча
Хіхола Руслана Аляксандравiча
Хрыпача Сяргея Уладзiмiравiча
Цімафеева Вiталiя Мiкалаевiча
Алейніка Сяргея Мiхайлавiча
Аліевіч Вольгу Мiкалаеўну
Ананіча Аляксандра Iванавiча
Андрукевіча Уладзiмiра Мар’янавiча
Анішчанку Аляксандра Валянцiнавiча
Арсеньеву Софію Iванаўну
Атрошчанку Уладзiмiра Васiльевiча
Аўсіевіча Сяргея Аляксандравiча
Баброву Святлану Мiкалаеўну
Багданава Аляксандра Валер’евiча
Бадунова Аляксандра Iванавiча
Баенскага Сяргея Васiльевiча
Базана Андрэя Генадзьевiча
Байцова Аляксандра Уладзiмiравiча
Баравіка Сяргея Мiхайлавiча
Барадунова Вадзiма Яўгеньевiча
Барысава Валерыя Яўгеньевiча
Барысюка Уладзiмiра Цярэнцьевiча
Белагаловага Уладзiмiра Станiслававiча
Бортніка Iгара Мiкалаевiча
Булаўкіна Паўла Уладзiмiравiча
Быба Леанiда Рыгоравiча
Бянькоўскага Вiктара Казiмiравiча
Вабішчэвіча Валерыя Леанiдавiча
Важгурава Вiктара Вiктаравiча
Валаха Альберта Мiкалаевiча
Валодзіна Яўгенiя Уладзiмiравiча
Васільку Iосiфа Iосiфавiча
Велясніцкага Iгара Мiкалаевiча
Вышынскага Вiталiя Аляксандравiча
Галавача Iвана Яўгеньевiча
Галатко Сяргея Iванавiча
Галуца Вiктара Мiкалаевiча
Ганчарэвіча Вiктара Георгiевiча
Гецікава Сяргея Мiкалаевiча
Грыко Юрыя Мiкалаевiча
Гузава Вiталiя Уладзiмiравiча
Гузіча Алега Аляксандравiча
Гунько Вiталiя Мiкалаевiча
Гурэвіча Рыгора Эдуардавiча
Дарэўскага Iгара Часлававiча
Джыгу Анатолiя Iванавiча
Дзікарава Iгара Уладзiмiравiча
Дразда Андрэя Уладзiмiравiча
Дурэйку Юрыя Уладзiмiравiча
Жданко Мiхаiла Мiхайлавiча
Жынко Анатолiя Яўгеньевiча
Забаўку Iвана Васiльевiча
Завадскага Анатолiя Дзмiтрыевiча
Загароўскага Iгара Канстанцiнавiча
Загорскага Сцяпана Яўгеньевiча
Зайца Андрэя Мiхайлавiча
Зайцава Вiталiя Вiктаравiча
Змітровіча Мiхаiла Васiльевiча
Зязюліна Iвана Фёдаравiча
Іванова Максіма Рыгоравiча
Івановіча Мiкалая Мiкалаевiча
Ісаенку Дзмiтрыя Анатольевiча
Кабрынца Аляксандра Аляксандравiча
Кавалеўскага Сяргея Iванавiча
Кадлубовіча Вiталiя Леанiдавiча
Казакову Iрыну Уладзiмiраўну
Казачэнку Дзмiтрыя Уладзiмiравiча
Казлова Вiталiя Анатольевiча
Каляду Дзянiса Васiльевiча
Канашэвіча Сяргея Яўгеньевiча
Капралава Мiкалая Аляксандравiча
Кароткую Iрыну Пятроўну
Карпука Валерыя Васiльевiча
Касцяневіча Аляксандра Анатольевiча
Каўтунова Ягора Васiльевiча
Качэргіна Аляксандра Аляксандравiча
Кірылава Дзмiтрыя Дзмiтрыевiча
Кірылава Мiхаiла Яўгеньевiча
Клышко Васiля Андрэевiча
Коваля Сяргея Пятровiча
Козела Мiкалая Мiкалаевiча
Кракасевіча Iгара Iванавiча
Краўца Анатолiя Мiхайлавiча
Крола Мiхаiла Максавіча
Крукава Уладзiмiра Мiкалаевiча
Кудэлку Юрыя Аляксандравiча
Кузняцова Юрыя Сяргеевiча
Кулагіна Паўла Iванавiча
Куляя Анатолiя Вiктаравiча
Купцова Юрыя Мiкалаевiча
Курко Мiкалая Аляксандравiча
Курпіка Сяргея Аляксеевiча
Кушнарова Дзмiтрыя Мiкалаевiча
Кяўру Мiхаiла Вацлававiча
Лазарыашвілі Iосiфа Валяр’янавiча
Лапаценку Алега Аляксандравiча
Лапуцьку Анатоля Мiхайлавiча
Ліпляніна Мiкалая Мiкалаевiча
Лісаўца Вiктара Часлававiча
Літвінава Паўла Мiкалаевiча
Ліхоту Вiктара Яўгеньевiча
Лужанскага Дзмiтрыя Анатольевiча
Лук’яненку Мiкалая Анатольевiча
Лук’яніцу Сяргея Аляксандравiча
Макаранку Данііла Мiхайлавiча
Мамоньку Валерыя Анатольевiча
Манькова Мiхаiла Васiльевiча
Мароза Паўла Вацлававiча
Мархотка Святлану Iванаўну
Маслоўскага Iгара Генадзьевiча
Масцепанава Васiлiя Васiльевiча
Мельнікава Сяргея Рыгоравiча
Мелянца Дзмiтрыя Вiтальевiча
Мінчукову Валянцiну Сямёнаўну
Мірановіча Андрэя Уладзiмiравiча
Міранюка Мiхаiла Канстанцiнавiча
Міронава Дзмiтрыя Леанiдавiча
Моханя Аляксандра Фёдаравiча
Мураўёва Алега Iванавiча
Мысліўца Уладзiмiра Станiслававiча
Нагорнага Сяргея Андрэевiча
Надзейку Андрэя Тадэвушавiча
Науменку Юрыя Iванавiча
Немагая Мiхаiла Мiхайлавiча
Нікіценка Наталлю Георгiеўну
Палідаўца Аляксандра Валерыевiча
Патарочу Максіма Уладзiмiравiча
Патрываева Дзмiтрыя Яўгенавiча
Паўлава Эдуарда Васiльевiча
Паўлюковіча Сяргея Мiкалаевiча
Пачкоўскага Пятра Антонавiча
Пашкевіча Вiктара Пятровiча
Пехцерава Андрэя Iванавiча
Пракоф’ева Вiктара Уладзiмiравiча
Пручкоўскага Віталія Алегавiча
Прыкоту Канстанцiна Андрэевiча
Прыстромава Вiталiя Валер’евiча
Пуцык Алену Уладзiмiраўну
Райценку Вячаслава Сяргеевiча
Раманюка Уладзiмiра Iванавiча
Родзіна Сяргея Юр’евiча
Рынцэвіча Станiслава Генадзьевiча
Рэуцкага Сяргея Iгаравiча
Савельеву Валянцiну Мiхайлаўну
Савінава Сяргея Вячаслававiча
Садоўскага Генадзя Iванавiча
Салтанаву Інесу Уладзiмiраўну
Салянко Дзмiтрыя Андрэевiча
Сапраненка Iрыну Паўлаўну
Сафановіча Анатолiя Мiхайлавiча
Свянтоху Валянцiна Iванавiча
Селеха Паўла Леанiдавiча
Селязнёва Дзмiтрыя Аляксандравiча
Семерыкова Сяргея Рыгоравiча
Семяніду Рамана Леанiдавiча
Серахана Вiталiя Вацлававiча
Сідарука Уладзiмiра Цiмафеевiча
Сілкова Пятра Лявонавiча
Скіпара Мiкалая Мiхайлавiча
Скуднага Аляксандра Леанiдавiча
Слабыню Леанiда Iванавiча
Слаўнікава Яўгенiя Васiльевiча
Смаршчка Мiкалая Аляксеевiча
Спірыду Аляксандра Iванавiча
Станкевіч Галiну Мiкалаеўну
Старавойтава Канстанцiна Сяргеевiча
Сушчэвіча Вiктара Мiхайлавiча
Сцежко Iрыну Мiхайлаўну
Сцяшковіча Аляксандра Анатольевiча
Сысоева Аляксея Сяргеевiча
Сычова Мiхаiла Аляксандравiча
Тамашэвіча Вiталiя Фаміча
Тамашэўскага Вiталiя Вячэслававiча
Тамілу Дзмiтрыя Леанiдавiча
Тарасёнка Аляксандра Мiкалаевiча
Татарэвіча Мiхаiла Iванавiча
Ткачова Аляксандра Мiкалаевiча
Траццякова Мiкалая Мiкалаевiча
Траянава Аляксандра Валер’евiча
Трутко Юрыя Iгаравiча
Тупеку Сяргея Станiслававiча
Уласевіча Валерыя Часлававiча
Улейку Сяргея Леанiдавiча
Федарца Сяргея Васiльевiча
Фралова Аляксея Сяргеевiча
Харкевіча Валерыя Рыгоравiча
Харужага Уладзiмiра Мiкалаевiча
Харушэўскага Яўгенiя Эдуардавiча
Харытоненку Вiктара Вiктаравiча
Цімошчанку Уладзiмiра Мiкалаевiча
Цумарава Алега Мiхайлавiча
Цыплакова Мiкалая Аляксеевiча
Цэлабёнка Сяргея Мiхайлавiча
Чаплінскага Алега Iванавiча
Чаплінскага Вадзiма Эдуардавiча
Чэрнушэвіча Вiктара Iванавiча
Шаблінскага Уладзiмiра Уладзiмiравiча
Шалакова Уладзiмiра Аляксеевiча
Шарынскага Эдуарда Iгнацьевiча
Шарычкава Сяргея Уладзiмiравiча
Шкулькова Дзмiтрыя Аляксеевiча
Шпаковіча Валерыя Леанiдавiча
Штуціна Iгара Яўгеньевiча
Шыкаўку Аляксандра Iванавiча
Шыліна Андрэя Мiкалаевiча
Юрасёва Андрэя Васiльевiча
Якаўца Уладзiмiра Уладзiмiравiча
Янчанку Аляксея Уладзiмiравiча
Яроменку Аляксея Генадзьевiча
Яхнаўца Дзмiтрыя Рыгоравiча
Яшчанку Сяргея Iванавiча
Карнацэвiча Iвана Iванавiча
Мураўскага Генрыка Раманавiча
Рудзянкову Галіну Iванаўну
Голуба Аляксандра Васiльевiча
Ефiменку Мiхаiла Кузьмiча
Нiкiценку Яўгена Уладзiмiравiча
Круглея Iгара Аляксандравiча
Бабань Святлану Iванаўну
Генералаву Валянцiну Уладзiмiраўну
Кубрык Зiнаiду Леанiдаўну
Папкевiча Уладзiмiра Вiктаравiча
Пiнчука Мiкалая Iванавiча
Вiскушэнка Людмiлу Мiхайлаўну
Гавiнчык Людмiлу Уладзiмiраўну
Кукраш Ганну Бранiславаўну
Мацюшэўскага Анатолiя Пятровiча
Пігунова Алега Iванавіча
Саладуху Вiталiя Аляксандравiча
Сняжыцкага Віктара Алякcандравіча
Каваленi Аляксандру Аляксандравічу
Германа Андрэя Аляксандравiча
Жалевiча Івана Уладзіміравіча
Жылко Аляксандра Аркадзьевiча
Колесня Уладзіміра Iванавіча
Наталевiч Алену Эдуардаўну
Паўлюшчыка Алега Валянцiнавiча
Пашко Аляксандра Аляксандравiча
Петракоўскую Людмiлу Леанiдаўну
Рунова Вiктара Аляксеевiча
Сакалоўскую Святлану Iванаўну
Салаўя Дзмiтрыя Аляксеевiча
Станкевiча Уладзiмiра Васiльевiча
Сярова Iгара Сяргеевiча
Траяноўскую Валянцiну Сяргееўну
Гутмана Яўхiма Якаўлевiча
Адаменку Андрэя Мiкалаевiча
Гацуковіча Алега Рыгоравiча
Ільінчыка Уладзiмiра Iосiфавiча
Манькова Юрыя Мiхайлавiча
Чорнага Сяргея Рыгоравiча
Амельчука Сяргея Васiльевiча
Астрэйку Аляксандра Вячаслававiча
Барадаўкіна Сяргея Анатольевiча
Берташа Iгара Iванавiча
Бескаравайную Вольгу Уладзiмiраўну
Веразубава Мiхаiла Мiхайлавiча
Водчыца Вiктара Андрэевiча
Грэцкага Сяргея Iванавiча
Гурэцкага Юрыя Леанiдавiча
Дзюбенку Iгара Мiкалаевiча
Жызнеўскага Уладзiмiра Iосiфавiча
Здрока Iвана Паўлавіча
Іаскевіча Андрэя Уладзiмiравiча
Каранкевіча Аляксандра Iгаравiча
Кіслова Багдана Iльiча
Клешніна Максіма Валер’евiча
Куліка Генадзiя Сцяпанавiча
Люшкевіча Вячаслава Iванавiча
Маркевіча Юрыя Сяргеевiча
Мельнікава Вiктара Фёдаравiча
Міхайлава Аляксея Уладзiмiравiча
Наркевіча Вiталiя Уладзiмiравiча
Парамонава Валерыя Мiкалаевiча
Пракапчука Алега Вiктаравiча
Раўтовіча Аляксандра Рыгоравiча
Русаковіча Сяргея Аляксандравiча
Самасюка Алега Аляксеевiча
Сафонава Васiля Мiкалаевiча
Смірнова Уладзiмiра Яўгеньевiча
Сямёнава Вiталiя Генадзіевiча
Талалаева Уладзiмiра Аляксеевiча
Шандору Вячаслава Яўгеньевiча
Шарыпу Сяргея Вiктаравiча
Яцыновіча Сяргея Мiхайлавiча
Адамовіча Андрэя Мiкалаевiча
Адамчука Сяргея Вiкенцьевiча
Аднаклубава Мiкалая Мiхайлавiча
Алдошына Аляксея Уладзiмiравiча
Алесіюка Iвана Iванавiча
Алехніка Сяргея Рыгоравiча
Ананенку Анатолiя Уладзiмiравiча
Андрэева Сяргея Валер’евiча
Анікеева Аляксандра Мiхайлавiча
Анішчанку Рамана Алегавiча
Апановіча Вiктара Уладзiмiравiча
Апулінскага Аляксандра Мiхайлавiча
Архіпцова Аляксандра Уладзiмiравiча
Арцыменю Вадзiма Iгаравiча
Аскерку Уладзiмiра Канстанцiнавiча
Асятрова Аляксандра Анатольевiча
Багдзевіча Дзянiса Iванавiча
Бараноўскага Генадзiя Уладзіслававіча
Барэля Аляксандра Мiкалаевiча
Беланожку Уладзiмiра Аляксеевiча
Богача Аляксандра Станiслававiча
Бражкіна Дзмiтрыя Рыгоравiча
Будрэвіча Iгара Яўгеньевiча
Бутраменку Дзмiтрыя Аляксандравiча
Бухаўцова Уладзiмiра Васiльевiча
Быкава Дзмiтрыя Сяргеевiча
Бяляўскага Юрыя Генадзьевiча
Вараб’ева Юрыя Пятровiча
Варанца Дзмiтрыя Мiкалаевiча
Вароніна Андрэя Валер’евiча
Васілючэка Вiктара Уладзiмiравiча
Ваўчка Уладзiмiра Уладзiмiравiча
Венскага Iлью Валер’евiча
Вінаградава Сяргея Яўгеньевiча
Вісцяжа Iосiфа Iванавiча
Воднева Iгара Анатольевiча
Вяргейчыка Вiктара Рыгоравiча
Галачкіна Мiхаiла Мiхайлавiча
Ганестава Алега Леанiдавiча
Ганчарова Аляксея Анатольевiча
Ганчарова Сцяпана Iванавiча
Гапоненку Iгара Мiкалаевiча
Гаркушу Iгара Уладзiмiравiча
Гіліждзінаву Святлану Мiкалаеўну
Грыбка Васiлiя Васiльевiча
Грышкова Аляксандра Генадзьевiча
Губара Уладзiмiра Мiкалаевiча
Гука Леанiда Мiкалаевiча
Гулякевіча Аляксея Мiкалаевiча
Гур’еву Таццяну Уладзiмiраўну
Гурына Вячаслава Мiкалаевiча
Гурына Сяргея Яўгенавiча
Дабрачынскага Вiталiя Эдуардавiча
Дзенісенку Сяргея Уладзiмiравiча
Дзмітраўцова Андрэя Мiхайлавiча
Драбышэўскага Уладзiмiра Аляксеевiча
Дучэнку Сяргея Мiкалаевiча
Дымшава Сяргея Мiхайлавiча
Дышчанку Андрэя Васiльевiча
Егарэнку Уладзiмiра Генадзьевiча
Ермалаева Уладзiмiра Мiхайлавiча
Ермаліцкага Сяргея Канстанцiнавiча
Ермаловіча Вiталiя Валер’евiча
Еўчара Георгiя Георгiевiча
Жукава Сяргея Аляксандравiча
Зайцава Вiталiя Вячаслававiча
Зарэцкага Iвана Барысавiча
Зарэцкага Сяргея Рыгоравiча
Зянько Iгара Анатольевiча
Іванова Сяргея Генадзьевiча
Івуліна Андрэя Вiктаравiча
Ісачкіну Наталлю Мiкалаеўну
Іскру Андрэя Анатольевiча
Кавалевіча Вiталiя Мiхайлавiча
Кавалёва Аляксея Анатольевiча
Кавалёва Вiктара Уладзiмiравiча
Кавалёва Максіма Аляксандравiча
Казакова Вiталiя Уладзiмiравiча
Калеснікава Вiктара Анатольевiча
Калошу Iгара Аляксандравiча
Каменду Андрэя Мiкалаевiча
Капу Вiктара Сяргеевiча
Каржэўскага Дзмiтрыя Якаўлевiча
Кісяля Аляксандра Мiхайлавiча
Клапацюка Юрыя Iванавiча
Клімава Генадзя Адамавiча
Клімаўцова Леанiда Дзмiтрыевiча
Кліндухова Уладзiмiра Валер’евiча
Коваля Мiкалая Мiхайлавiча
Корзуна Вячаслава Уладзiмiравiча
Красько Васiлiя Львовiча
Крупіцу Алега Мiхайлавiча
Крупскага Iвана Iосiфавiча
Крэпскага Валерыя Мiкалаевiча
Кузьміна Аляксея Генадзьевiча
Кузьміных Андрэя Вiктаравiча
Кузьміцкага Васiлiя Васiльевiча
Кулагіна Дзмiтрыя Iванавiча
Лабуця Аляксандра Пятровiча
Лапко Максіма Васiльевiча
Лапцінскага Аляксандра Юр’евiча
Ласковіча Мiкалая Вiктаравiча
Лаўрыновіча Вiктара Васiльевiча
Лыско Аляксандра Мiкалаевiча
Мазэпіна Андрэя Мiкалаевiча
Майсяёнка Аляксандра Аляксандравiча
Максімава Уладзiмiра Пятровiча
Малішэўскага Аляксандра Вiктаравiча
Малькова Iгара Уладзiмiравiча
Малюка Аляксандра Анатольевiча
Мамайку Iвана Андрэевiча
Матвеева Iгара Мiхайлавiча
Матвейчава Юрыя Анатолевiча
Мацукова Iгара Вiктаравiча
Мацюка Уладзiмiра Пятровiча
Міхайлава Аляксандра Леанiдавiча
Міхалюка Руслана Мiхайлавiча
Міхедзенку Вiктара Барысавiча
Моханя Сяргея Фёдаравiча
Мядзведзева Сяргея Генадзьевiча
Мядзведзя Андрэя Аляксандравiча
Надзейку Аляксандра Мiкалаевiча
Надтачэева Васiлiя Валер’евiча
Нехіна Андрэя Уладзiмiравiча
Нікалаева Алега Аляксандравiча
Нікалаева Андрэя Анатольевiча
Ніканчука Андрэя Анатольевiча
Новіка Сяргея Мiкалаевiча
Новікава Юрыя Яўгеньевiча
Панятова Андрэя Аляксандравiча
Пачабута Аліка Мiхайлавiча
Пляшэвіча Мiкалая Iванавiча
Пракап’юка Валерыя Мiкалаевiча
Прывалава Мiхаiла Рыгоравiча
Пугачова Дзмiтрыя Iгаравiча
П’янова Аляксея Яўгеньевiча
Пятрэеву Iрыну Мiхайлаўну
Рагатку Юрыя Уладзiмiравiча
Радзілаўца Вiктара Адамавiча
Радкевіча Кірыла Мiхайлавiча
Рака Вiктара Барысавiча
Раманава Цімура Аляксандравiча
Рамановіча Уладзiмiра Уладзiмiравiча
Рахленку Леанiда Валер’евiча
Рудога Сяргея Вiктаравiча
Русевіча Дзмiтрыя Станiслававiча
Савіцкага Андрэя Вiктаравiча
Садоўнікава Вiктара Мiкалаевiча
Самафалава Аляксандра Iванавiча
Самусева Вадзiма Аляксеевiча
Сароку Сяргея Леанiдавiча
Свергуна Аляксандра Рыгоравiча
Семянкова Андрэя Аляксандравiча
Серякова Сяргея Вiктаравiча
Сівоху Аляксандра Мiкалаевiча
Сільвановіча Аляксандра Васiльевiча
Сільвановіча Аляксандра Сяргеевiча
Скрыдлеўскага Вадзiма Iгаравiча
Сланімскага Мiхаiла Мiхайлавiча
Смалякова Валянцiна Уладзiмiравiча
Спірыдонава Мiкалая Мiкалаевiча
Стаўскага Дзянiса Уладзiмiравiча
Суслава Аляксея Аляксандравiча
Сушчыца Сяргея Уладзiмiравiча
Сцемплеўскага Вiктара Францавiча
Сцяпанава Дзмiтрыя Макаравiча
Сыцэвіча Сяргея Мiкалаевiча
Сямашку Паўла Мiкалаевiча
Сяўко Рамана Мiкалаевiча
Талкач Ларысу Уладзiмiраўну
Талочко Руслана Валянцiнавiча
Тарасевіча Сяргея Канстанцiнавiча
Трасцяна Алега Мiкалаевiча
Уладзеса Сяргея Мiкалаевiча
Фалькоўскага Вiктара Генадзьевiча
Хамца Мiхаiла Мiкалаевiча
Хафізава Алега Вячаслававiча
Хвалько Уладзiмiра Iванавiча
Хоміча Мiкалая Паўлавіча
Хрыстафорава Яўгенiя Аляксандравiча
Хутарнога Юрыя Барысавiча
Цераха Вiктара Уладзiмiравiча
Цецерука Аляксандра Аляксандравiча
Ціцішына Сяргея Iванавiча
