fіo,dolzhnost,,,,,,,,,,,regіon
Катлярова Віталія Анатольевіча,"старшага пажарнага пажарнай аварыйна-выратавальнай часці № 3 Магілёўскага гарадскога аддзела па надзвычайных сітуацыях установы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Кірпічэнку Андрэя Пятровіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 2 Чыгуначнага раёна Віцебскага гарадскога аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Кузьмянка Мікалая Іванавіча,"начальніка пажарнай аварыйна-выратавальнай часці № 1 Рэчыцкага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Ліпко Дзмітрыя Віктаравіча,"начальніка каравула пажарнай аварыйна-выратавальнай часці № 1 Пружанскага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага лейтэнанта ўнутранай службы",,,,,,,,,,,
Ліса Дзмітрыя Міхайлавіча,"старшага памочніка начальніка штаба ліквідацыі надзвычайных сітуацый Навагрудскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Маісеева Дзмітрыя Канстанцінавіча,"галоўнага спецыяліста інспекцыі нагляду і прафілактыкі Магілёўскага гарадскога аддзела па надзвычайных сітуацыях установы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Макоўскага Германа Мар’янавіча,"камандзіра аддзялення пажарнага аварыйна-выратавальнага паста № 11 Пастаўскага раённага аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Мароза Андрэя Расціслававіча,"начальніка пажарнай аварыйна-выратавальнай часці № 2 г.п. Гарадзея Нясвіжскага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Некраша Юрыя Уладзіміравіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 3 Заводскага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Панасюка Леаніда Данілавіча,"начальніка Кобрынскага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", палкоўніка ўнутранай службы",,,,,,,,,,,
