fіo,dolzhnost,,,,,,,,,,,regіon
Мішко Юрыя Мітрафанавіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 2 г.п. Камарын Брагінскага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Молаша Аляксандра Мікалаевіча,"начальніка атрада аддзела папраўчага працэсу папраўчай установы ""Папраўчая калонія № 5"" упраўлення Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў па Брэсцкай вобласці, маёра ўнутранай службы",,,,,,,,,,,
Мухортых Валянціну Аляксандраўну,"малодшага навуковага супрацоўніка – сацыёлага навукова-даследчай лабараторыі факультэта ўнутраных войскаў установы адукацыі ""Ваенная акадэмія Рэспублікі Беларусь"", маёра",,,,,,,,,,,
Мысліцкага Дзмітрыя Віктаравіча,"начальніка аператыўнага аддзялення – намесніка начальніка штаба вайсковай часці 97020 Узброеных Сіл, маёра",,,,,,,,,,,
Мядзельца Віталія Міхайлавіча,"намесніка камандзіра па паветрана-дэсантнай падрыхтоўцы – начальніка аддзялення вайсковай часці 97020 Узброеных Сіл, маёра",,,,,,,,,,,
Мясніковіча Віктара Дзянісавіча,"камандзіра аддзялення груп затрымання страявога падраздзялення міліцыі Чэрвеньскага аддзялення Дэпартамента аховы Міністэрства ўнутраных спраў, старшага прапаршчыка міліцыі",,,,,,,,,,,
Мяцечку Сяргея Мікалаевіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Івацэвіцкага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Мяшкова Данілу Віктаравіча,"старшага інспектара прафілактыкі аддзялення аховы правапарадку і прафілактыкі міліцыі грамадскай бяспекі аддзела ўнутраных спраў Чэрыкаўскага райвыканкама, старшага лейтэнанта міліцыі",,,,,,,,,,,
Навалаева Ігара Мікалаевіча,"старшага пракурора аддзела пракуратуры Магілёўскай вобласці па нагляду за законнасцю выканання крымінальных пакаранняў, саветніка юстыцыі",,,,,,,,,,,
Навіцкага Уладзіміра Вячаслававіча,"намесніка камандзіра па аператыўнай рабоце – начальніка каманднага пункта 153-й асобнай радыётэхнічнай брыгады (асобага прызначэння) Узброеных Сіл, палкоўніка",,,,,,,,,,,
Навуменку Івана Уладзіміравіча,"начальніка вытворча-тэхнічнага аддзела дзяржаўнай установы ""Упраўленне капітальнага будаўніцтва Узброеных Сіл Рэспублікі Беларусь"", капітана",,,,,,,,,,,
Навуменку Ігара Мікалаевіча,"намесніка начальніка па аператыўна-тактычнай рабоце Гомельскага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Нагавіцыну Валянціну Чаславаўну,начальніка аддзела мытных плацяжоў Віцебскай мытні ,,,,,,,,,,,
Надтачаева Віктара Віктаравіча,"інспектара-дзяжурнага аператыўна-дзяжурнай службы групы міліцэйскай, ваенізаванай і вартавой аховы Рагачоўскага аддзела Дэпартамента аховы Міністэрства ўнутраных спраў, старшага лейтэнанта міліцыі",,,,,,,,,,,
Наскавец Людмілу Фёдараўну,"старшага інспектара аддзела праходжання службы ўпраўлення камплектавання галоўнага ўпраўлення кадраў Міністэрства ўнутраных спраў, маёра міліцыі",,,,,,,,,,,
Наумовіча Алега Уладзіміравіча,"ваеннага пракурора аддзела па барацьбе з карупцыяй і арганізаванай злачыннасцю Беларускай ваеннай пракуратуры, маёра юстыцыі",,,,,,,,,,,
Невядомскую Людмілу Яўгеньеўну,"начальніка аддзялення 121-й навігацыйна-тапаграфічнай часці Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, маёра",,,,,,,,,,,
Непачаловіч Людмілу Васільеўну,"старшага інспектара-рэвізора 1-й групы 3-га аддзела кантрольнага ўпраўлення галоўнай ваеннай інспекцыі Узброеных Сіл, маёра",,,,,,,,,,,
Несцярэнку Сяргея Ігаравіча,"начальніка сектара галоўнага ўпраўлення рэжыму і арганізацыйнага забеспячэння Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Неўмяржыцкага Сяргея Канстанцінавіча,"оперупаўнаважанага аддзялення крымінальнага вышуку крымінальнай міліцыі аддзела ўнутраных спраў Ельскага райвыканкама, капітана міліцыі",,,,,,,,,,,
Нешко Віталія Вітальевіча,"начальніка медыцынскай службы Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, падпалкоўніка медыцынскай службы",,,,,,,,,,,
Нікалаева Уладзіміра Анатольевіча,"начальніка міжраённага аддзела аператыўнага рэагавання і вышуку дзяржаўнай аўтамабільнай інспекцыі ўпраўлення ўнутраных спраў Брэсцкага аблвыканкама, маёра міліцыі",,,,,,,,,,,
Нікалаюка Пятра Пятровіча,"старшага выкладчыка цыкла аддзела вучэбнай і метадычнай работы цэнтра падрыхтоўкі спецыялістаў пагранічнага кантролю факультэта дзяржаўнай установы адукацыі ""Інстытут пагранічнай службы Рэспублікі Беларусь"", падпалкоўніка",,,,,,,,,,,
Нікітку Генадзя Міхайлавіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Бабруйскага гаррайаддзела па надзвычайных сітуацыях установы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Нікіценку Вячаслава Алегавіча,"старшага афіцэра аддзялення сувязі і тэхнічнай абароны інфармацыі аддзела сувязі і інфармацыйных тэхналогій упраўлення рэжыму і арганізацыйнага забеспячэння 86-й пагранічнай групы пагранічнай службы, маёра",,,,,,,,,,,
Нішта Аляксандра Рыгоравіча,"старшага афіцэра-інструктара 12-га аддзела вайсковай часці 64170 Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Новака Андрэя Аляксандравіча,"старшыну рамонтнай роты аддзялення па фарміраванню 51-й гвардзейскай змешанай артылерыйскай групы Узброеных Сіл, старшага прапаршчыка",,,,,,,,,,,
Новіка Аляксандра Іванавіча,"намесніка начальніка па службе, падрыхтоўцы і пажаратушэнню пажарнага аварыйна-выратавальнага атрада № 4 Мазырскага гаррайаддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Новікава Віктара Пятровіча,"камандзіра кадра асобнага інжынерна-маскіровачнага батальёна 83-га асобнага інжынерна-аэрадромнага палка Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Новікава Віталія Віктаравіча,"оперупаўнаважанага аддзела крымінальнага вышуку крымінальнай міліцыі аддзела ўнутраных спраў Светлагорскага райвыканкама, маёра міліцыі",,,,,,,,,,,
Нужную Ірыну Уладзіміраўну,"галоўнага інспектара рэжымнага аддзела ўпраўлення рэжымна-сакрэтнай дзейнасці і справаводства Следчага камітэта, падпалкоўніка юстыцыі",,,,,,,,,,,
Няратава Арцема Аляксандравіча,"начальніка газадымаахоўнай службы вучэбнай пажарнай аварыйна-выратавальнай часці дзяржаўнай установы адукацыі ""Камандна-інжынерны інстытут"" Міністэрства па надзвычайных сітуацыях, лейтэнанта ўнутранай службы",,,,,,,,,,,
Нячая Ігара Юр’евіча,"начальніка інжынернай службы 5-й асобнай брыгады спецыяльнага прызначэння Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Осіпава Дзяніса Мікалаевіча,"намесніка камандзіра па ідэалагічнай рабоце вайсковай часці 97020 Узброеных Сіл, маёра",,,,,,,,,,,
Осіпава Міхаіла Віктаравіча,"старшага інспектара аператыўнага аддзела штаба ўпраўлення ўнутраных спраў Гомельскага аблвыканкама, маёра міліцыі",,,,,,,,,,,
Палаўчэню Аляксандра Канстанцінавіча,"міліцыянера-дзяжурнага ізалятара для часовага ўтрымання асоб, затрыманых ці заключаных пад варту, міліцыі грамадскай бяспекі аддзела ўнутраных спраў Старадарожскага райвыканкама, прапаршчыка міліцыі",,,,,,,,,,,
Палубінскага Аляксандра Васільевіча,"старшага афіцэра разведвальнага аддзела штаба камандавання сіл спецыяльных аперацый Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Палякова Андрэя Уладзіміравіча,"камандзіра роты аховы і абслугоўвання 19-й асобнай гвардзейскай механізаванай брыгады Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, старшага прапаршчыка",,,,,,,,,,,
Пападзько Дзяніса Уладзіміравіча,"галоўнага інспектара групы статыстыкі і аналізу арганізацыйна-інспектарскага аддзела арганізацыйна-кантрольнага ўпраўлення ўпраўлення Следчага камітэта па Мінскай вобласці, падпалкоўніка юстыцыі",,,,,,,,,,,
Папко Аляксандра Аляксандравіча,"намесніка начальніка штаба – начальніка інфармацыйнага цэнтра ўпраўлення ўнутраных спраў Брэсцкага аблвыканкама, падпалкоўніка міліцыі",,,,,,,,,,,
Папкову Ірыну Канстанцінаўну,"начальніка мабілізацыйнай групы – намесніка начальніка штаба па мабілізацыйнай рабоце 110-га асобнага палка матэрыяльнага забеспячэння Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, старшага прапаршчыка",,,,,,,,,,,
Папляўко Генадзія Васільевіча,"начальніка службы гаручага і змазачных матэрыялаў упраўлення тылу Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Папругу Алену Віктараўну,"начальніка групы сакрэтнага справаводства аддзела рэжымна-сакрэтнай дзейнасці ўпраўлення рэжыму і арганізацыйнага забеспячэння атрада пагранічнага кантролю ""Мінск"" пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Парфененку Юрыя Анатольевіча,"старшага следчага следчага аддзялення Дубровенскага раённага аддзела Следчага камітэта, маёра юстыцыі",,,,,,,,,,,
Пархомчыка Сяргея Іванавіча,галоўнага інспектара аддзела аналізу і кіравання рызыкамі Віцебскай мытні,,,,,,,,,,,
Парышкуру Максіма Анатольевіча,"старшага оперупаўнаважанага па асабліва важных справах аддзялення аналізу, планавання і агентурна-аператыўнай работы ўпраўлення па барацьбе з эканамічнымі злачынствамі крымінальнай міліцыі ўпраўлення ўнутраных спраў Мінскага аблвыканкама, падпалкоўніка міліцыі",,,,,,,,,,,
Пасікава Дзмітрыя Леанідавіча,"старшага афіцэра сектара галоўнага аператыўнага ўпраўлення Дзяржаўнага пагранічнага камітэта, маёра",,,,,,,,,,,
Паско Сяргея Міраслававіча,"намесніка начальніка ўпраўлення Следчага камітэта па г. Мінску, палкоўніка юстыцыі",,,,,,,,,,,
Патапчука Мікалая Васільевіча,"начальніка пажарнага аварыйна-выратавальнага паста № 13 Бярозаўскага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Паўлава Аляксандра Леанідавіча,"камандзіра аддзялення часці спецыяльнай тэхнікі № 7 вытворча-тэхнічнага цэнтра ўстановы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Паўловіча Аляксандра Мікалаевіча,"намесніка начальніка ўпраўлення ідэалагічнай работы і кадравага забеспячэння – начальніка аддзела ідэалагічнай работы дзяржаўнай установы адукацыі ""Інстытут пагранічнай службы Рэспублікі Беларусь"", падпалкоўніка",,,,,,,,,,,
Пацая Дзмітрыя Іванавіча,"старшага ардынатара аддзялення анестэзіялогіі і рэанімацыі дзяржаўнай установы ""432 ордэна Чырвонай Зоркі галоўны ваенны клінічны медыцынскі цэнтр Узброеных Сіл Рэспублікі Беларусь"", падпалкоўніка медыцынскай службы",,,,,,,,,,,
Пачыкету Мікалая Васільевіча,"памочніка начальніка па матэрыяльна-тэхнічнаму забеспячэнню Магілёўскага гарадскога аддзела па надзвычайных сітуацыях установы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Пейгановіча Юрыя Міхайлавіча,"намесніка камандзіра па тылу – начальніка тылу 181-й баявой верталётнай базы Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Пенкрата Аляксандра Мікалаевіча,"намесніка начальніка аддзела аховы правапарадку і прафілактыкі міліцыі грамадскай бяспекі аддзела ўнутраных спраў Бярэзінскага райвыканкама, маёра міліцыі",,,,,,,,,,,
Перапецкага Аляксандра Міхайлавіча,"начальніка аддзялення аховы правапарадку і прафілактыкі міліцыі грамадскай бяспекі аддзела ўнутраных спраў Уздзенскага райвыканкама, маёра міліцыі",,,,,,,,,,,
Петушок Святлану Вячаславаўну,"следчага па асабліва важных справах аддзела занальнага працэсуальнага кантролю ўпраўлення працэсуальнага кантролю ўпраўлення Следчага камітэта па Гродзенскай вобласці, падпалкоўніка юстыцыі",,,,,,,,,,,
Пехава Аляксандра Валер’евіча,"начальніка штаба – першага намесніка камандзіра кадра асобнага механізаванага батальёна 6-й асобнай гвардзейскай механізаванай брыгады Заходняга аператыўнага камандавання Узброеных Сіл, маёра",,,,,,,,,,,
Пікузу Руслана Русланавіча,"намесніка начальніка аддзела кадраў установы адукацыі ""Магілёўскі вышэйшы каледж Міністэрства ўнутраных спраў Рэспублікі Беларусь"", падпалкоўніка міліцыі",,,,,,,,,,,
Пінчукова Андрэя Усеваладавіча,"міліцыянера-вадзіцеля 2-й асобнай роты палка патрульна-паставой службы міліцыі ўпраўлення ўнутраных спраў Магілёўскага аблвыканкама, прапаршчыка міліцыі",,,,,,,,,,,
Пісарыка Андрэя Мікалаевіча,"старшага інспектара па асобых даручэннях аддзела праходжання службы ўпраўлення камплектавання галоўнага ўпраўлення кадраў Міністэрства ўнутраных спраў, маёра міліцыі",,,,,,,,,,,
Плахотніка Міхаіла Аляксеевіча,"старшыну атрада міліцыі асобага прызначэння палка патрульна-паставой службы міліцыі ўпраўлення ўнутраных спраў Магілёўскага аблвыканкама, старшага прапаршчыка міліцыі",,,,,,,,,,,
Плюцінскага Ігара Уладзіміравіча,"старшага афіцэра аддзялення вайсковай часці 1250 пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Поніка Юрыя Анатольявіча,"памочніка дзяжурнага аператыўна-дзяжурнай службы міліцыі грамадскай бяспекі аддзела ўнутраных спраў Нараўлянскага райвыканкама, старшага прапаршчыка міліцыі",,,,,,,,,,,
Пракапюка Станіслава Станіслававіча,"кантралёра аддзялення пагранічнага кантролю 86-й пагранічнай групы пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Прановіча Аляксандра Васільевіча,"начальніка Пухавіцкага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Пратасенка Раісу Пятроўну,"начальніка аддзялення аплаты працы фінансавага аддзела 19-й пагранічнай групы пагранічнай службы, маёра",,,,,,,,,,,
Прахарэнку Аляксандра Леанідавіча,"начальніка варты 7-й стралковай роты вайсковай часці 5525 унутраных войскаў Міністэрства ўнутраных спраў, старшага прапаршчыка",,,,,,,,,,,
Прачуханава Уладзіслава Міхайлавіча,"намесніка начальніка аддзела – начальніка следчага аддзялення Слаўгарадскага раённага аддзела Следчага камітэта, маёра юстыцыі",,,,,,,,,,,
Протаса Паўла Іванавіча,"старшага оперупаўнаважанага групы па барацьбе з эканамічнымі злачынствамі крымінальнай міліцыі аддзела ўнутраных спраў Докшыцкага райвыканкама, маёра міліцыі",,,,,,,,,,,
Прохарава Рамана Віктаравіча,"старшага інспектара па ўлікова-рэгістрацыйнай рабоце групы інфармацыйнага забеспячэння штаба аддзела ўнутраных спраў Мсціслаўскага райвыканкама, маёра міліцыі",,,,,,,,,,,
Прышчэп Ірыну Анатольеўну,"намесніка начальніка ўпраўлення фінансаў і тылу галоўнага ўпраўлення ўнутраных спраў Мінскага гарвыканкама – начальніка фінансава-эканамічнага аддзела, падпалкоўніка міліцыі",,,,,,,,,,,
Пугача Васіля Рыгоравіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Нараўлянскага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Пукалу Дзмітрыя Сяргеевіча,"камандзіра аэрадромна-эксплуатацыйнай роты батальёна аэрадромнага і матэрыяльнага забеспячэння 181-й баявой верталётнай базы Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, лейтэнанта",,,,,,,,,,,
Пунчанку Васілія Уладзіміравіча,"старшага інструктара па ваджэнню пажарнай машыны пажарнай аварыйна-выратавальнай часці № 2 Магілёўскага гарадскога аддзела па надзвычайных сітуацыях установы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Пунько Андрэя Іванавіча,"старшага ўчастковага інспектара міліцыі аддзялення аховы правапарадку і прафілактыкі гарадскога аддзела міліцыі № 3 упраўлення ўнутраных спраў адміністрацыі Фрунзенскага раёна г. Мінска, маёра міліцыі",,,,,,,,,,,
Пусташылу Андрэя Якаўлевіча,"намесніка начальніка ўпраўлення – начальніка аддзела лінейнага працэсуальнага кантролю ўпраўлення працэсуальнага кантролю ўпраўлення Следчага камітэта па Мінскай вобласці, палкоўніка юстыцыі",,,,,,,,,,,
Пусько Пятра Мікалаевіча,"начальніка аддзялення кадраў і ўліку асабовага складу аддзела ідэалагічнай работы і кадравага забеспячэння асобнага авіяцыйнага атрада пагранічнай службы, маёра",,,,,,,,,,,
Рабцава Алега Аляксандравіча,"намесніка начальніка Рэчыцкага аддзела Дэпартамента аховы Міністэрства ўнутраных спраў – начальніка аддзялення сродкаў і сістэм аховы, падпалкоўніка міліцыі",,,,,,,,,,,
Рагажынскага Аляксандра Віктаравіча,галоўнага інспектара – кіраўніка рэжымна-сакрэтнага органа Віцебскай мытні,,,,,,,,,,,
Радзюка Аляксандра Мікалаевіча,"вадзіцеля пажарнай аварыйна-выратавальнай часці № 1 Гродзенскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Радзюка Валерыя Уладзіміравіча,"міліцыянера-вадзіцеля аператыўна-дзяжурнай службы аддзялення міліцэйскай, ваенізаванай і вартавой аховы Наваполацкага аддзела Дэпартамента аховы Міністэрства ўнутраных спраў, прапаршчыка міліцыі",,,,,,,,,,,
Ракіту Ігара Анатольевіча,"старшага оперупаўнаважанага 1-га аддзялення 3-га аддзела ўпраўлення па Брэсцкай вобласці Дэпартамента забеспячэння аператыўна-вышуковай дзейнасці Міністэрства ўнутраных спраў, маёра міліцыі",,,,,,,,,,,
Раковіча Аляксея Валер’евіча,"вадзіцеля пажарнай аварыйна-выратавальнай часці № 15 Кастрычніцкага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Раманюка Цімафея Васільевіча,"міліцыянера-вадзіцеля аператыўна-дзяжурнай службы міліцыі грамадскай бяспекі аддзела ўнутраных спраў адміністрацыі Ленінскага раёна г. Брэста, старшага прапаршчыка міліцыі",,,,,,,,,,,
Раску Дзмітрыя Дзмітрыевіча,"старшыну вучэбнай зенітнай батарэі 320-й школы падрыхтоўкі спецыялістаў інжынерных войскаў і войскаў радыяцыйнай, хімічнай і біялагічнай аховы Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны 72-га гвардзейскага аб’яднанага вучэбнага цэнтра падрыхтоўкі прапаршчыкаў і малодшых спецыялістаў Узброеных Сіл, старшага прапаршчыка",,,,,,,,,,,
Рацкевіча Віктара Яўгеньевіча,"міліцыянера-вадзіцеля групы затрымання батальёна міліцыі Ленінскага (г. Гродна) аддзела Дэпартамента аховы Міністэрства ўнутраных спраў, прапаршчыка міліцыі",,,,,,,,,,,
Рогатнева Валерыя Валер’евіча,"старшага інжынера інжынерна-авіяцыйнай службы 61-й знішчальнай авіяцыйнай базы Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, маёра",,,,,,,,,,,
Родзевіча Дзмітрыя Зыгмундавіча,"старшага афіцэра сектара галоўнага аператыўнага ўпраўлення Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Рончыка Віктара Анатольевіча,"старшага афіцэра аддзела арганізацыі аператыўнага кантролю службы пагранічнага кантролю аператыўнага ўпраўлення 86-й пагранічнай групы пагранічнай службы, маёра",,,,,,,,,,,
Рошчыну Алесю Іванаўну,"фельчара медыцынскага пункта 15-й зенітнай ракетнай брыгады Паўночна-заходняга аператыўна-тактычнага камандавання Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, прапаршчыка",,,,,,,,,,,
Рубіса Ігара Васільевіча,"інспектара па вышуку групы па адміністрацыйнай практыцы, дазнанню і вышуку батальёна дарожна-патрульнай службы дзяржаўнай аўтамабільнай інспекцыі ўпраўлення ўнутраных спраў Віцебскага аблвыканкама, маёра міліцыі",,,,,,,,,,,
Рудазуба Віталія Георгіевіча,"аператыўнага дзяжурнага групы баявога кіравання вайсковай часці 07147 Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Рудовіча Юрыя Станіслававіча,"вадзіцеля пажарнай аварыйна-выратавальнай часці № 19 Ленінскага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Руца Міхаіла Мікалаевіча,"начальніка аддзела баявой гатоўнасці і арганізацыі штодзённай дзейнасці ўпраўлення рэжыму і арганізацыйнага забеспячэння 86-й пагранічнай групы пагранічнай службы, маёра",,,,,,,,,,,
Рыбака Алега Адамавіча,"афіцэра аддзела вайсковай часці 1250 пагранічнай службы, старшага лейтэнанта",,,,,,,,,,,
Рыбачонка Мікалая Іванавіча,"старшыну Круглянскага раённага аддзела Следчага камітэта, прапаршчыка юстыцыі",,,,,,,,,,,
Рэвінскага Аляксандра Аляксандравіча,"аператыўнага дзяжурнага аддзялення баявога кіравання штаба 8-й радыётэхнічнай брыгады Заходняга аператыўна-тактычнага камандавання Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, маёра",,,,,,,,,,,
Рэйшэля Станіслава Станіслававіча,"старшага інжынера-механіка групы матэрыяльна-тэхнічнага забеспячэння і абслугоўвання пажарнага аварыйна-выратавальнага атрада ўстановы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Сабалеўскую Святлану Міфодзьеўну,"галоўнага спецыяліста аддзела нагляду і прафілактыкі ўстановы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Савіна Анатолія Анатольевіча,"камандзіра рамонтна-аднаўленчага батальёна 11-й асобнай гвардзейскай механізаванай брыгады Заходняга аператыўнага камандавання Узброеных Сіл, маёра",,,,,,,,,,,
Савіцкага Вячаслава Мікалаевіча,"начальніка Гарадоцкага раённага аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Савіцкага Дзмітрыя Уладзіміравіча,"старшага інспектара-дзяжурнага аператыўна-дзяжурнай службы ўстановы адукацыі ""Магілёўскі вышэйшы каледж Міністэрства ўнутраных спраў Рэспублікі Беларусь"", маёра міліцыі",,,,,,,,,,,
Савосіка Аляксандра Леанідавіча,"начальніка медыцынскай службы Заходняга аператыўнага камандавання Узброеных Сіл, падпалкоўніка медыцынскай службы",,,,,,,,,,,
Савянка Дзмітрыя Віктаравіча,"старшага оперупаўнаважанага аддзела крымінальнага вышуку крымінальнай міліцыі аддзела ўнутраных спраў Аршанскага райвыканкама, маёра міліцыі",,,,,,,,,,,
Савянкова Паўла Іванавіча,"намесніка начальніка аддзела – начальніка 2-га следчага аддзялення Ленінскага (г. Мінска) раённага аддзела Следчага камітэта, падпалкоўніка юстыцыі",,,,,,,,,,,
Сазонава Міхаіла Генадзьевіча,"міліцыянера-канваіра канвойнага падраздзялення ізалятара для часовага ўтрымання асоб, затрыманых ці заключаных пад варту, міліцыі грамадскай бяспекі аддзела ўнутраных спраў Лепельскага райвыканкама, старшага прапаршчыка міліцыі",,,,,,,,,,,
Сакалоўскага Івана Юр’евіча,"начальніка цэнтра ізаляцыі правапарушальнікаў галоўнага ўпраўлення ўнутраных спраў Мінскага гарвыканкама, падпалкоўніка міліцыі",,,,,,,,,,,
Сакаўца Віталя Уладзіміравіча,"міліцыянера-дзяжурнага аператыўна-дзяжурнай службы папраўчай установы адкрытага тыпу № 33 упраўлення Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў па г. Мінску і Мінскай вобласці, прапаршчыка міліцыі",,,,,,,,,,,
Саладуха Таццяну Сяргееўну,"тэхніка групы інфармацыйных тэхналогій аддзялення пагранічнага кантролю атрада пагранічнага кантролю ""Мінск"" пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Салама Дануту Генрыхаўну,старшага інспектара аддзела бухгалтарскага ўліку і кантролю Гродзенскай рэгіянальнай мытні,,,,,,,,,,,
Сальву Андрэя Канстанцінавіча,"начальніка дзяжурнай змены цэнтра аператыўнага кіравання пажарнага аварыйна-выратавальнага атрада ўстановы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Самахвалава Міхаіла Купрыянавіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Шклоўскага раённага аддзела па надзвычайных сітуацыях установы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Сапегу Дзмітрыя Анатольевіча,"старшага інспектара дарожна-патрульнай службы 3-га ўзвода батальёна дарожна-патрульнай службы дзяржаўнай аўтамабільнай інспекцыі ўпраўлення ўнутраных спраў Гродзенскага аблвыканкама, маёра міліцыі",,,,,,,,,,,
Сапона Анатолія Лявонцьевіча,"начальніка пажарнага аварыйна-выратавальнага паста № 14 Столінскага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Саскаўца Сяргея Міхайлавіча,намесніка начальніка ўпраўлення – начальніка аддзела развіцця і арганізацыі эксплуатацыі аб’ектаў мытнай інфраструктуры ўпраўлення развіцця мытнай інфраструктуры Дзяржаўнага мытнага камітэта,,,,,,,,,,,
